id	qid1	qid2	question1	question2	is_duplicate	
5955	11684	11685	What's it to like to be a conference organizer?	What is a conference?	0	0	0.932621
53466	94518	94519	How much fluoride is absorbed into your bloodstream when you brush your teeth, and how does this compare to the amount of fluorine that would be found normally in those who don't use fluoride toothpaste or mouthwash or drink fluoridated water?	Why is fluoride put in water?	0	0	0.98394555
19474	36800	36801	What does surgical strike means?	What do you mean by surgical strike?	1	0	0.9213241
129430	185862	207922	Which topics on Quora are the most popular and have the most followers?	What are the 50 topics with the most followers on Quora?	1	0	0.64468557
266347	383511	335476	How can I become a successful software engineer?	What do I truly need to learn and do to become a successful software engineer?	1	1	0.81547445
329170	455802	60386	How do I get in shape for swimming?	What's the best way to get in shape with swimming?	0	0	0.653973
210166	23242	140443	What is the advantage of demonetization of Indian currency?	Is Modi’s decision of demonetization of currency a bad decision and proving to be a disaster for the Indians and Indian economy?	0	0	0.8791249
199932	209031	290838	Were the Clintons paid by the Clinton Foundation?	What does the Clinton Foundation do?	0	0	0.8618485
296044	418189	9427	"What is the true definition of ""introvert""?"	What is your definition of an introvert?	1	0	0.92597497
275010	393732	393733	Why is Quora so popular?	Why is Quora not that popular at Stanford?	0	0	0.59775835
394827	527742	527743	Anyone wanna listen to a awesome opportunity, on how to make money in your free time?	What is the secret behind the success of record labels? Money or talent?	0	0	0.9695491
276149	395063	395064	Why do you need a passport to go to Mexico?	Can I travel to Mexico without a passport?	0	1	0.8226711
95464	159207	159208	How do I delete my credit card details from Uber's database?	Is it safe to add debit/credit card details on Google play?	0	0	0.99274
304612	427890	427891	Is green tea effective for fat loss?	Does green tea really burn fat in body and help us to maintain good health?	1	1	0.7997987
144830	229113	229114	What is the best shampoo for oily hair?	What is the best shampoo for oily hair that is available at Walmart?	0	0	0.9123433
399552	255080	74802	How can I stop watching porn videos?	What should I do to stop watching porn completely?	1	1	0.7873621
304478	427744	427745	Do colleges look at the senior year (first semester) grades?	How important are senior year grades for undergraduate college applications to Ivy League schools and Liberal Arts schools?	0	0	0.9997876
281172	400900	400901	How do I enable my locked Verizon 3G iPhone?	Is the iPhone 5S Verizon locked CDMA or GSM?	0	0	0.7053607
155601	11925	243734	How much does YouTube pay per view?	Does YouTube pay you for likes and views of your uploaded educational videos? How much?	0	0	0.77812755
273259	391698	25100	Is platinum highly reactive?	Is platinum metal very reactive?	1	0	0.9170338
402890	483567	536432	How do I automatically share Facebook page post in groups?	Can I share Facebook comments of a page and a post linking to that page?	0	0	0.8796086
129140	207529	207530	How much equity should I get at a post-Series A startup as the first recruiting hire?	Startups: I just got asked to be the COO of a young startup in San Francisco. How much equity should I get?	0	0	0.8962681
93989	157034	157035	Are electrons made from quarks?	Are electrons made of quarks, what are they made of?	1	0	0.5071096
143042	17954	54825	What does surgical strike mean?	What is the meaning of surgical strike?	1	0	0.8939622
113107	184924	184925	What happens to leftover soaps and other free items in hotel rooms after you check out?	If I check into a hotel room, and something about the room is unacceptable, how do I proceed?	0	0	0.917216
366806	12241	50006	What would be your New Year resolutions for 2017?	What are your New Years resolutions for 2017?	1	1	0.90375096
277923	397117	397118	What is global solidarity?	What is social solidarity?	0	0	0.51195997
302864	103992	145125	How will releasing new 500 and 2000 rupee notes help in eradicating black money?	Why is the Indian government producing 2000 rupee note as it can be easily used for black money?	1	1	0.9897882
15507	29620	21434	Who is the most annoying contestant in Bigg Boss 10 and why?	How do I vote for Bigg Boss contestants?	0	0	0.9914915
360352	490140	456616	How do I know how to be a man, and do the right thing?	How can I do the right thing?	0	0	0.80804074
291920	413436	413437	How do I implement mixed finite element for Stokes equations in Nutils?	May I know the information about chemical psus recruitment 2016?	0	0	0.99858224
81982	17525	139118	What is the meaning of imperialism?	What is the definition of imperialism?	1	0	0.74559265
378890	161602	406634	What did you regret after graduating from college?	Is there somehting you regret after graduating from college?	1	0	0.7783717
139627	222084	222085	What is the best food in the world?	What is the best food on earth?	1	1	0.8624681
60860	106368	106369	Why is the government taking defence steps as political propaganda?	How are in-house design teams structured?	0	0	0.9821859
216454	322614	322615	What is your review of K. Bhagyaraj Tamil Movies?	What is your review of Tamil Movies That Challenged the Stereotypes of Their Time?	0	0	0.79259825
225697	334091	334092	What is the cheapest price for which I can glenfiddich 1L in delhi ncr and where?	What are the cheapest self-driven cars for hire in Delhi NCR?	0	0	0.9671089
205594	308804	308805	how is it possible for a blog to appear in the first page of Google search Engine? How can I make my blog appear on 1st page?	Can a blog appear in the first page of Google search Engine? If Yes, then how can I make my blog appear on 1st page? Can you explain?	0	0	0.97278905
73350	55346	36481	Why doesn't anyone here answer my questions?	Why is no one giving me an answer to my questions?	1	0	0.5243449
246574	19471	16473	What is the scariest paranormal experience you've ever had?	What is the scariest paranormal experience you have ever had?	1	1	0.77230877
34563	63305	63306	How do I deal with culture shock?	How can you overcome the depression, homesickness and anxiety of culture shock?	1	0	0.61543226
286480	407079	40392	What are symptoms of anorexia?	What is anorexia?	0	1	0.61545956
186648	71744	284645	What is your earliest childhood memory?	What is your earliest childhood memory that you can recall?	1	1	0.74900144
208412	14762	34231	What is a healthy diet for people with ADHD?	What does a healthy diet consist of?	0	1	0.9304805
127843	139809	205740	If I like someone's picture in Facebook and then unlike it will there be any notification in Facebook disclosing me?	How can I unlike all Facebook pages?	0	0	0.99702054
71220	122602	122603	How do I find saved draft in Quora?	How do I delete all my saved drafts on Quora?	0	0	0.76765096
359590	489260	489261	What is the difference between a rooted and unrooted android?	What are some of the best tweaks you have done on your Android phone?	0	0	0.9698784
138679	72598	201025	What are the best ways to solve a Rubik's Cube?	What's the trick to a Rubik's Cube?	1	0	0.8212097
69811	3938	6748	What should I do to improve my English ?	How can I improve my communication skill and English proficiency?	1	1	0.98426074
326884	134861	453258	How do I connect my iPhone to a Samsung Smart TV?	How do I connect iPhone 6s to Samsung smart TV?	0	0	0.86909395
92023	154122	154123	Robert Frost: Do they train astraunauts of what to do in situations where astraunauts may find themselve alone like in the movie Gravity?	Three situations were not scientifically accurate in gravity movie?	0	0	0.9358547
53850	95136	95137	What are the unit economics of the iPad?	What is unit economics?	0	0	0.9718237
145630	230241	230242	Is there a tutorial on how to use Quora?	How do I start using Quora?	1	1	0.6447983
400310	1885	24297	What are the easy ways to earn money online?	What is the easy way to make money online?	1	1	0.9770676
195177	295542	295543	What should be the schedule of a student preparing for school & IIT?	My 1st gen- iPod touch turned off post overheating three years ago, not to turn on again or respond to charging. What can be done without losing data?	0	0	0.9899206
78324	133571	128888	What is your favorite Myers-Briggs personality type?	How can I get the Indian PAN card as a non-Indian?	0	0	0.9936247
142804	144413	226405	Should i updrade cards upto level 9 only in clash royale?	I am going to be townhall 9 in 3hrs in clash of clans. I have 400000 elixer and 300000 gold. How should I proceed?	0	0	0.9796799
145306	229772	229773	Do we regret the stuff we didn't do?	Should we regret or not?	0	0	0.6647908
71268	122672	122673	Why should I study biotechnology?	Where should I study biotechnology?	0	1	0.90058655
352365	49266	71106	How do people earn money from YouTube?	How can I make money on YouTube?	1	1	0.95038635
295246	8885	8462	What are the best ways to improve my English because I'm not good in English?	How do I improve my pronunciation in English?	1	1	0.96378875
98890	164261	164262	I cheated on my wife would she cheat on me?	I think my wife is cheating on me. What do I do?	0	1	0.883156
325531	3623	30920	How can I see who viewed my Instagram video?	Why can't I see views on my Instagram videos?	1	1	0.8489914
64638	112289	112290	How good is computer science at VIT?	What is resource partitioning? What are its functions?	0	0	0.85982066
330984	91069	98998	What does a civil engineer do?	How does civil engineering work?	1	0	0.8579454
372689	1183	52722	Do you think time travel is possible?	Is it possible to travel time with real life?	1	1	0.94747007
88781	149270	149271	A mole of football fields could cover the surface of how many moons?	How hot is the surface of the moon?	0	0	0.7760463
178249	135422	273825	What is the espionage behind the ban on Jallikattu?	What is the penalty for espionage?	0	0	0.97840685
284661	404962	404963	Where can I get proper training for tratak meditation in Delhi?	Meditation: I am doing Tratak on the third eye. It has been more than two months. Suddenly I am feeling a mild pain in head which is consistent since last few days. Is it normal or should I consider visiting a doctor?	0	0	0.9987411
100295	27557	166390	What is the US presidential election process?	What is the method of presidential election in USA?	1	0	0.6357214
377729	186435	80050	What is space? What is dark energy?	What is dark matter?	0	1	0.7382425
119949	194643	194644	What is your review of The Big Bang Theory (TV series)?	What is it like to work on the set of The Big Bang Theory (TV series)?	0	0	0.93574715
58044	55083	101916	How can I stop masturbation?	How do I stop masturbation and forget women?	1	1	0.6230511
212535	15766	9661	What is your new year resolution for 2017 or goal for 2017?	What are your new year resolutions’2017?	1	1	0.68906397
274605	393272	393273	How reliable are PS3 slims?	Are PS3 slims reliable?	1	1	0.5777288
306325	429828	429829	Why is medical treatment costly in India?	Why can't all medical treatments be free of cost?	0	0	0.75683296
57106	100399	6317	I have had oral sex only and I'm past my period due date. What could have possibly happened?	What can cause a woman's period to be late?	0	0	0.9704568
71451	122957	122958	Is it difficult to start a toy cleaning business?	"""What should I do our parents are refusing for marriage we are from same caste?"""	0	0	0.81118333
270551	182810	388471	Should I learn Romanian as a second language?	What should I learn as a second language?	0	0	0.50546676
322126	447907	447908	How do I prevent YouTube from increasing my ping?	How do I lower Internet ping when using youtube?	0	1	0.86447144
360895	232944	490693	How much impact Quora has made on your life?	Can a small neutron star get destroyed if it enters the Roche limit of a big neutron star?	0	0	0.66834056
172575	173498	266421	How is v k dhingra and co for articleship and is the exposure good there?	How is the mathematics curriculum for K-12 determined?	0	0	0.9973379
3874	7673	7674	How did you meet your significant other?	How did you meet your current significant other?	1	1	0.64820683
172263	266032	266033	What are the things I can do to become more responsible?	What are some ways to become more responsible?	0	1	0.7477356
394562	527460	527461	What companies are similar to razorfish?	Are there companies similar to Applits?	0	0	0.95862347
174091	113488	268398	How can you get over someone?	How do you get over someone you think you once had?	0	0	0.786159
118115	192051	192052	What I can sell on amazon.in?	What can I sell on Amazon?	0	0	0.9703537
8745	17038	17039	What is Jan lokapal bill?	Which country is the most geographically located to become a superpower other than china and india?	0	0	0.9930997
308947	432862	432863	What are the best aspects of working at Power Solutions International?	What are the best aspects of working at Power Integrations?	0	0	0.7564816
9227	17938	17939	Would an external USB 3.0 CD/DVD drive be faster than an external USB 2.0 CD/DVD drive?	Does a USB 3.0 port charge devices faster than a USB 2.0 when used with the same cable?	0	0	0.991657
226197	334752	334753	Any advice for Tag Management regarding e-commerce site ?	Do you know of any e-commerce dedicated for schools?	0	0	0.94978917
46696	83497	83498	Gauss Vs. Nikola Tesla Vs. Leonardo Da Vinci Vs. Newton. Who was smarter and why?	Who was smarter, Leonardo da Vinci or Nikola Tesla? Why?	0	0	0.9969716
345357	473642	473643	What are the APPROVALS required for A real ESTATE PROJECT?	How DOES A SOCIOPATH EXPRESS LOVE?	0	0	0.97506297
89000	149595	149596	Hackers: How can I get started with hacking?	How do I start hacking?	1	1	0.9433239
361745	491615	491616	Is shipping business profitable?	Use of as..as in correlative conjunction?	0	0	0.86481994
5382	10594	10595	What are some must-read books for people in their 50s?	What are some must-read books for people in their 20s?	0	0	0.8122138
151745	238535	238536	What is the criteria to get into Loyola College?	What is so special about Loyola College?	0	0	0.95881665
199147	300558	300559	Why don't I get the new user interface on Quora?	Why do new users on Quora get an updated interface while the old users don't?	0	1	0.827007
132388	211995	211996	If kids born on 2008 and we both parents in UK since 10 years can we eligible for UK citizen?	Can an EEA citizen apply for UK PR if living in England for 5 years but not working for last 2 years due to pregnancy and subsequent childcare?	0	0	0.99593276
91939	154002	154003	Can an individual have their own religion or is it necessary that there be a community?	Is religion really necessary to go through life?	0	0	0.84767216
245594	358469	114811	How can I turn off getting asked by Google Chrome to save my passwords?	Why is Google Chrome not offering to save passwords? How do I fix it?	0	1	0.53645563
8189	15971	15972	Wiggling finger in front of computer creates frames?	Why is there a temporary relief for your joint pains when you crack your fingers?	0	0	0.7565713
161061	251059	176603	How do I get into NYU journalism?	How did you get into NYU?	0	1	0.8372838
311436	435708	435709	Why do we relate people to songs?	So, the girl I like has a boyfriend. What good song can I listen to that relates to my situation?	0	0	0.99043417
329433	456085	456086	How do I ask a question on this?	How do I ask a question?	0	0	0.7308894
336434	196352	463794	What is observed when ydse is performed with white light?	If what we see when we observe a distant galaxy is the light that left that galaxy billions of years ago, does that mean it is impossible to know what is happening right now in that galaxy?	0	0	0.95482343
390152	252594	479822	Do I need a midical test for the visa interview to the US?	Do I need a midical test for visa interview to US?	1	0	0.87601084
387832	328294	520165	Can anybody get creative ideas for writing and composing music? And if so, how?	Why do I find creative writing so boring and how do I get back to enjoying it?	0	0	0.93860114
265727	382754	382755	What is it like to attend GDC?	What was it like to attend GDC in 2016?	0	1	0.79186386
148224	233761	93900	I want a bike, but my parents can't afford it. What should I do?	Why do Royal Enfield bikes make a noisy sound while other bikes don't?	0	1	0.52175194
310986	98782	79863	How can I loose 5kgs weight in a week without exercise?	How can I loose weight naturally without exercise?	1	0	0.8119315
36592	66702	66703	I'm not happy with quora? My question always needs editing and never gets posts. What's the point of this site if I don't get anything out of it?	How do I get a job working as psychic or tarot reader?	0	0	0.7774003
58674	102895	102896	What are the disadvantages of masturbation for boys?	What are the disadvantages of not masturbating?	0	0	0.5361701
193183	293037	293038	What is the future of Facebook Groups?	Is Facebook the future of everything?	0	1	0.79774845
224773	332942	273975	What's the best advice you could give to someone under twenty?	What's your best advice, for someone turning twenty, in one sentence?	0	1	0.70736086
31365	57832	57833	How do I manage money in manipal?	What are some good ways of managing your money?	0	1	0.8828699
302134	425124	167146	What are the best ways to learn Java?	How can I learn Java in a week?	0	0	0.77079356
387665	519986	519987	What is reference state?	What is a reference?	0	0	0.84551597
96942	25038	161392	Which are books one must read in life?	What is that one novel that everybody should read in life?	1	0	0.514592
313336	359220	437893	How are Telugu and Tamil languages related?	Why there is no relation between Telugu and Tamil?	0	0	0.9112856
330144	456865	456866	Which is the best dslr camera under budget of Rs 38000 for a beginner?	What is the best DSLR camera for a beginner with a budget of INR.50000 Rs?	0	1	0.6795101
210159	252675	132687	What are some of the worst questions asked on Quora?	What are some funniest questions ever asked on Quora?	1	1	0.5477103
137925	219737	108334	What are the best online sites to learn computer programming?	What are the best online programming courses for advanced and intermediate programming?	1	0	0.54524326
206841	74904	292239	What are some very good and real touching romantic novels?	Which are some good romantic novels?	1	0	0.94059455
204079	152142	78477	How do you spell “metaanalysis”?	"How do you spell ""Quora""?"	0	1	0.5792113
344902	96721	64454	Which is a good solar panel installation provider near Millbrae, California CA?	What is a good solar panel installation provider near Angels Camp, California CA?	0	0	0.99389607
202750	76760	77071	Is there any relevance for morality in the modern world?	Are ethics and morality relevant to the modern world?	1	0	0.8640244
275018	296231	393743	How do cyber security services help my business?	How do I provide my service in cyber security as a freelancer?	0	1	0.62239945
362642	492564	50303	"Why is right ""right"" and wrong ""wrong""?"	What is right and what is wrong?	0	0	0.98710024
344440	472667	472668	What does Richard Muller think of philosophy?	What does Richard Muller think about philosophy?	1	0	0.99370617
192485	292131	292132	If scientists invent a mechanism for humans to communicate in the language of animals, birds, plants & vice versa, then how would life be different?	How would the world be if scientists invented a mechanism for humans to communicate with all animals, plants & vice versa?	1	0	0.99837863
192829	169152	292557	How do you get a free PSN generator with no surveys?	How do I get people to take online surveys for free?	0	0	0.9612747
264913	381781	381782	Where can I learn to become a professional full stack Javascript Developer?	What is the best way to become a full stack javascript developer for a newbie?	0	0	0.5274421
216028	322058	322059	What are some examples of cognitive dissonance in football?	What are some examples of cognitive dissonance on the internet?	0	0	0.9705108
276804	137182	151714	How do I find my employer's ein number?	I heard there is a website where I can get an EIN number for free. Which website is it?	0	0	0.9362433
381100	450409	512785	How to reset an iPhone?	How do you restore a locked iPhone?	0	0	0.66352654
270318	388191	388192	Is Donald Trump capable of running a country?	Is Donald Trump capable of running a country even though he does not have the following?	1	1	0.6351657
119338	193779	193780	What are the pros and cons of online shopping ?	What are the pros & cons of online shopping?	1	1	0.74986273
123353	199457	199458	Is it wrong to date someone dates an 11yrs old when im 15?	How do I increase accuracy in objective type exams?	0	0	0.9399691
366277	496459	496460	Is Dangal the best movie of Aamir Khan?	Which do you think are the best movies of Aamir Khan?	0	0	0.9109857
399987	54431	5294	How is being gay or lesbian less moral than divorce?	Is Run Ze Cao's falsification of Einstein's relativity valid?	0	0	0.88635683
329456	456113	456114	What are tips for maintaining a beach waves perm?	What chemicals are put on hair to make a tight perm?	0	0	0.9770841
374214	505090	505091	Do professional soccer players masturbate?	Do all soccer players masturbate?	1	0	0.7034504
245950	118328	59638	What is the cut-off for KVPY exam( SA stream ) 2016 and when are the results declared?	What is the Expected cutoff for KVPY SA stream 2016?	1	0	0.9782788
331487	320946	210420	How can be less self-conscious?	How can I be less self conscious?	1	1	0.8058596
369686	500152	500153	How many characters or people are mentioned in the Bible?	Why is Mary not mentioned much in the Bible?	0	0	0.97326565
55071	97129	97130	What are the factors that decides the temperature of a matter?	How do I cure this problem of my face, What is it?	0	0	0.59353155
315666	440598	440599	Where can I find French news shows with English subtitles?	Can you upgrade iPad 2 from 16gb to 32gb?	0	0	0.8229766
238424	349779	349780	What are some tips to get the best airline ticket prices?	What are some of the best hacks to buy cheap airline tickets?	0	0	0.9742474
24487	45740	45741	My ideal girl/boy is out of my reach; should I settle for what I can get?	My ideal girl is out of my reach. Should I settle for what I can get?	1	0	0.63316154
75675	129469	129470	How do I unsubscribe from all email?	How do I unsubscribe from emails?	1	1	0.7821019
53173	94041	94042	How long should I charge my new phone before the first use (a 3000 mAh Li-ion battery)?	How long should I charge a new phone before the first use?	0	0	0.9765238
76139	64927	130197	When you have a snapstreak and the hourglass emoji appears, after how long does the streak end?	On Snapchat, how do you remove streaks?	0	0	0.9916351
351605	256710	165131	What are some good Indian stock market apps?	What are the best stock market app?	1	0	0.6092757
160182	249881	249882	How big is the Death Star?	What's the difference between the first Death Star and the second Death Star?	0	1	0.7057689
60218	97104	105338	How do I remove hard water stains from a toilet bowl?	What are the best ways to remove hard water stains from shower doors?	0	0	0.8450246
16820	32028	32029	If you could date any celebrity, who would it be and why?	If you could date only one celebrity, who would it be and why?	1	1	0.7373191
246475	204004	298457	Does cannabis oil cure cancer? Or are the sellers hoaxing?	How true is it that cannabis can cure cancer?	1	0	0.547385
348890	477504	477505	What would you like to achieve in 5 years from now?	Only you know the world is about to explode in 5 years, what would you do?	0	1	0.51303375
170976	36472	21896	Have the Ancient Incans been scientifically tested?	Have the Ancient Chaldeans been scientifically tested?	1	1	0.78927135
326721	453081	453082	How do I abort a baby within a month?	What is the best way to abort a baby of one month?	1	0	0.9046139
244673	357352	357353	From a Male Perspective, What Lingerie turns you on?	Why is lingerie such a turn on for men?	0	0	0.8438479
148347	104901	57271	What is the best way to learn and practice C programming?	What's the easiest way to learn C?	1	1	0.9044385
206584	139042	310047	Why do poor people become poorer and the rich get richer?	Why do the rich become richer and the poor become poorer?	1	0	0.50636137
375159	506149	148340	What are some of the best movies on F1?	What are some good comedies?	0	0	0.5515231
165994	257657	184351	How do I migrate my Clash royale account from one Google Play ID to another?	How do I migrate my Clash of Clans account from one Google Play ID to another?	0	1	0.55090916
34066	62483	62484	Can I use the simple past tense instead of the present perfect tense in these sentences?	When should I use the present perfect tense rather than the simple past tense? For instance, “I have eaten,” instead of “I ate?”	0	0	0.99714583
246528	52298	34942	How can I earn money part time online?	How can I earn money easily online?	1	1	0.9842175
388801	521243	521244	How many 12 digit numbers have the sum of digits as 4?	How many 12 digits number have the sum of 4?	1	0	0.9324471
325897	452146	452147	M audio nova and samson c03 which is best?	M audio nova and samson c03 which one is best?	1	0	0.98554325
363454	192492	493439	How do I deal with stress at home?	How should you deal with the stressful environment at home?	1	0	0.71241593
349724	478416	478417	What is the best specialization for ECE students to do an MS?	What are the best courses to do MS for an ECE background student?	1	0	0.7348568
102696	169888	43287	How does one avoid existential depression?	How do I overcome existential depression?	1	1	0.70595765
70583	121607	121608	How is it to live in Belgium as an average citizen, meaning the lifestyle and the people, etc.?	Where can I find stories or statistics about people who change their lives dramatically after turning 50. I don't mean the usual mid life stuff such as buying a red sports car etc, I mean changing their lifestyle in a major way.	0	0	0.99713767
275266	394041	394042	I am getting 445 marks in neet 2016 , can I get any government college (MBBS) ? I have haryana domicile. (General category)	What are some philosophical books that one must read?	0	0	0.99760145
226730	335403	278165	While I am requesting online SBI global debit card, I am getting error, saying either MOP not ser or invalid MOP for card type, can you help me?	I am unable to add my SBI debit card (Mastercard) to my Google Wallet account. Does Google not support SBI debit cards?	0	0	0.9969885
262655	379040	379041	Which are best management colleges in Lucknow?	Which is the best management college in Lucknow?	1	0	0.7630725
277409	396512	311594	Which are best eye clinics in Pune?	Which is the best eye hospital in Pune?	1	1	0.5313163
38446	69827	69828	Can anyone give me a good short courses institute's website in Australia?	Can anyone advice me on a good English PG course? Preferably distance education. I am in Chennai	0	0	0.9896951
281601	210693	401390	How do I solve 1/6^0.4 without the use of calculator?	How can I find 10^1.026 without using calculator or log table?	0	0	0.8824535
270700	388643	2513	Which songs make you feel happy when listening to them?	What are some songs that just make you happy?	1	0	0.7510915
143788	227731	227732	What kind of animal (Fox) is this?	What kinds of animals do foxes eat?	0	0	0.825511
398962	15414	7976	I am in first year. In which direction should I start my preparation to clear for IAS exam?	How should I start my preparation for IAS as an engineering student?	1	0	0.6088521
70874	14804	122067	How can I get a complete list of all old Gmail accounts in my name?	I can't remember all the info of my Gmail accounts. How can I find out the list of Gmail accounts that I've oppened?	1	0	0.7866272
317650	442898	442899	Where can you hire the best PHP, ASP.NET and iPhone apps developer at a low cost in India?	Where can you hire the best PHP, Asp.net and mobile apps developer at a low cost in India?	0	0	0.7954755
253376	251354	335113	Which company provides photobooth hire service in Sydney?	Who provides affordable photobooth service in Sydney?	0	0	0.93122244
188371	286881	286882	Is it unprofessional to include a brief list of influential people at the bottom of your resume?	Should you list a 3.1 GPA on your resume?	0	0	0.99159324
124950	201674	86596	Why must God exist?	Why should God exist?	1	0	0.5277648
340362	120445	468073	Why is bedwetting (enuresis) associated with psychopathy?	Which options, other than bedwetting alarms, exist to treat bedwetting (enuresis), in a healthy 6 year old?	0	0	0.9969843
339199	466823	466824	What is Quora doing to grow its user base?	How does Quora plan on growing its user base?	1	1	0.8731983
354511	432169	483646	Is a 13 cm penis considered small?	I am 20 and my penis is 13 cm. is it considered small and will it grow bigger?	1	0	0.96182346
212593	94053	19936	How do I find Best SEO Company in Delhi?	Which will be the best SEO company in Delhi NCR to optimize my website on Top?	1	1	0.54372746
296782	419045	31380	How is technology changing the culture of Switzerland?	How does technology change culture?	0	0	0.67753375
300468	278566	423269	What is a spiritual way of life?	What is spiritual life?	0	1	0.8187845
181634	278195	251829	What color goes well with cobalt blue?	What colors go with cobalt blue?	1	0	0.8004588
365893	60573	496034	What are the different career options after MBBS and their scope in India?	What is the scope of pg after mbbs?	0	0	0.64572984
121693	197152	197153	What is the difference between original, appellate and advisory jurisdiction of Supreme Court in India?	What is the first and second appeals on civil matters in Appellate jurisdiction of high court?	0	0	0.99628097
366713	496940	496941	"The word ""English"" is always, always, always capitalized when referring to the language or nationality. Why do so many Quora questioners lowercase it?"	My mind is always in questioning mode after using Quora. Why is that?	0	0	0.9080237
367575	497860	497861	How is duck sauce supposed to taste like?	Does eBay work in Nigeria? What are the restrictions?	0	0	0.9185504
207021	310596	310597	What is tcs values?	I have completed my TCS Ignite training and I have a query regarding the MCA program from SASTRA offered by TCS. Does it have any value? Do other public or private companies consider this degree?	0	0	0.99663985
267333	94094	161680	What are the ways to earn money while studying?	How can I earn money during college?	1	1	0.9792277
151459	238136	238137	What actually controversial opinion do you have?	What sincerely controversial opinion do you have?	1	0	0.67448276
276943	395959	395960	Is there a chance for anyone on Quora to have 1 billion views or more than that?	Why can't I post more than 1 question per day in Quora?	0	1	0.72011596
344278	19200	10330	How can I slowly lose weight?	How do I lose weight?	1	1	0.98546267
189664	288486	100018	What's the best way to get 1000+ likes for a Facebook page without spending any money?	How can we promote facebook page without spending money?	1	1	0.7647097
312449	436894	436895	What are some extinct religions?	What if the true religion is already extinct?	0	0	0.6569769
48983	87230	87231	How can I upload a pic from my timeline to make cover photo?	"Unable to upload pics in FB when using on FB app in android. When I upload any photo, it says ""Facebook Upload Failed"". What could be the reason?"	0	0	0.99107414
276351	395289	395290	Do you covet what you cannot have?	Do you covet fame?	0	1	0.7573637
28440	52739	52740	Where can I donate my organs?	How do we donate organs?	0	0	0.56857723
96286	160407	160408	How do element atoms bond to form a compound mloecules?	How do atoms join together to form molecules?	0	0	0.9921531
339813	467487	467488	How much does an average fine dining restaurant make in NYC?	On average, how much does a restaurant make?	0	0	0.97198457
188627	287233	287234	What are the similarities between monocot and dicot flowers?	What country can Singapore win a war against?	0	0	0.99457425
46000	82335	82336	How is the MS telecom program at NJIT and RIT?	Which are the best MS programs?	0	0	0.99762446
94133	157256	157257	How many engineers are there at Postmates?	How many engineers pass out every year in Switzerland?	0	0	0.9832372
356297	485604	485605	What is the difference between HTML and XHTML?	What are the key differences between HTML & XHTML?	1	0	0.9863521
124397	200883	200884	What are some of the common mistakes made by candidates in IIT-JEE entrance exams?	What are Common Preparation Mistakes of IIT JEE Advanced?	0	0	0.9967558
41606	75103	75104	Which is the best digital photo frame?	What’s the best digital picture frame?	1	1	0.577793
238293	349624	349625	I'm from Bangladesh studying in class 10. I'm a bit weak in Mathematics but I dream to study Physics at MIT. What should I do from now on for future?	I'm from Bangladesh. I read in class 10. I'm a bit weak in Mathematics. But I dream to study Physics at MIT. What should I do from now?	0	0	0.9821999
282054	401935	401936	What's the best way to conclude a Group Discussion in a placement drive?	In a group discussion, what is the difference between 'summarizing' and 'concluding' in the end?	0	0	0.98814195
292743	414390	414391	What would this look like if it were easy?	How calculate the battery backup?	0	0	0.897868
303569	316005	109149	What is the thing you most regret doing?	What are the things you regret not doing?	0	1	0.7545835
235073	345705	345706	How big is a whale?	How big is a dolphin?	0	0	0.90657955
169954	262877	262878	How do reversing entries simplify record keeping? What is it used for?	How do reversing entries simplify record keeping?	1	0	0.67000514
26358	49067	49068	Is cocaine kosher for Passover?	Are 5-Hour Energy drinks kosher for Passover?	0	0	0.7764559
64971	112816	112817	Which subject should I study to crack NVS PGT Biology entrance	Please suggest the exams which has similar entrance syllabus as TISS NET. Since , I am only preparing for TISS NET, I would like to keep a backup.	0	0	0.99812704
251818	366011	366012	I studied at a law school, but I didn't study a Juris Doctor. If I pass a bar exam, can I work for a law firm as a lawyer?	What is London weather like and how does it compare to other European cities?	0	0	0.98658895
331014	457847	457848	Are predictions of the future based on the present too much?	Are predictions of the future too rooted in the present?	1	0	0.74040955
9838	19105	19106	Should I join the Marines? If so, why?	How do you join the Marines?	0	1	0.6842246
175108	44247	269696	Has Modiji sealed the fate of Arvind Ji in the upcoming Punjab elections?	Why most of the opinion polls showing victory of AAP in Punjab Assembly Elections 2017 even after so much hatred for Arvind Kejriwal?	0	0	0.9801462
387272	519576	519577	Is there an app that notifies website visitor through a widget that someone recently purchased a product?	Recently I had purchased a product from an online shopping website (Amazon). After that incident, I am followed by an annoying advertisement of various shopping sites on that product in each and every website I visit. How did all the websites I visits know about my interest in that product?	0	0	0.9997727
275233	393997	393998	Which raw materials are needed for photosynthesis?	Is raw material a direct material or factory overhead?	0	0	0.96152955
4358	8614	8615	Did anyone ever said anything to piss off 2pac on camera like the N Word?	"Has anyone ever responded violently to one of the ""punked"" or ""candid camera"" type staged shows?"	0	0	0.7310423
25388	47325	47326	What are the lists of Indian colleges/ universities offering MBA in biotechnology through distance learning?	What are the lists of Indian colleges/ universities offering MBA in healthcare through distance learning?	0	1	0.8632998
274604	393270	393271	How do I stop my mother-in-law from visiting and staying for long durations without being rude and inappropriate?	My mother-in-law takes over the kitchen when she comes to visit. How can I politely tell her it is not her house?	0	0	0.99644357
